time,axial_force,transversal_displacement
0.9900000E+01,-0.2437973E+04,0.1562610E+00
0.1000000E+02,-0.2432366E+04,0.1562610E+00
0.1010000E+02,-0.2425981E+04,0.1562610E+00
0.1020000E+02,-0.2419519E+04,0.1584570E+00
0.1030000E+02,-0.2410253E+04,0.1581840E+00
0.1040000E+02,-0.2402414E+04,0.1649200E+00
0.1050000E+02,-0.2397677E+04,0.1700370E+00
0.1060000E+02,-0.2394990E+04,0.1736090E+00
0.1070000E+02,-0.2390881E+04,0.1736090E+00
0.1080000E+02,-0.2384942E+04,0.1736090E+00
0.1090000E+02,-0.2376131E+04,0.1737800E+00
0.1100000E+02,-0.2367304E+04,0.1811230E+00
0.1110000E+02,-0.2357873E+04,0.1851850E+00
0.1120000E+02,-0.2354338E+04,0.1863250E+00
0.1130000E+02,-0.2350360E+04,0.1871230E+00
0.1140000E+02,-0.2344492E+04,0.1882630E+00
0.1150000E+02,-0.2343078E+04,0.1929070E+00
0.1160000E+02,-0.2336533E+04,0.1951460E+00
0.1170000E+02,-0.2326557E+04,0.1969320E+00
0.1180000E+02,-0.2321252E+04,0.1986990E+00
0.1190000E+02,-0.2317671E+04,0.2007630E+00
0.1200000E+02,-0.2317022E+04,0.2036890E+00
0.1210000E+02,-0.2315870E+04,0.2046430E+00
0.1220000E+02,-0.2312498E+04,0.2064130E+00
0.1230000E+02,-0.2307331E+04,0.2083510E+00
0.1240000E+02,-0.2300616E+04,0.2117100E+00
0.1250000E+02,-0.2296330E+04,0.2142760E+00
0.1260000E+02,-0.2293427E+04,0.2171820E+00
0.1270000E+02,-0.2291157E+04,0.2200840E+00
0.1280000E+02,-0.2290087E+04,0.2229700E+00
0.1290000E+02,-0.2287279E+04,0.2239140E+00
0.1300000E+02,-0.2286327E+04,0.2268410E+00
0.1310000E+02,-0.2284534E+04,0.2277750E+00
0.1320000E+02,-0.2278862E+04,0.2295610E+00
0.1330000E+02,-0.2275529E+04,0.2314990E+00
0.1340000E+02,-0.2274566E+04,0.2371200E+00
0.1350000E+02,-0.2273690E+04,0.2430670E+00
0.1360000E+02,-0.2275173E+04,0.2441660E+00
0.1370000E+02,-0.2270860E+04,0.2449900E+00
0.1380000E+02,-0.2267068E+04,0.2472300E+00
0.1390000E+02,-0.2262878E+04,0.2507890E+00
0.1400000E+02,-0.2258609E+04,0.2507890E+00
0.1410000E+02,-0.2259498E+04,0.2527160E+00
0.1420000E+02,-0.2258324E+04,0.2538360E+00
0.1430000E+02,-0.2257733E+04,0.2604270E+00
0.1440000E+02,-0.2254557E+04,0.2626880E+00
0.1450000E+02,-0.2250947E+04,0.2644490E+00
0.1460000E+02,-0.2249785E+04,0.2662180E+00
0.1470000E+02,-0.2251650E+04,0.2703700E+00
0.1480000E+02,-0.2255831E+04,0.2739410E+00
0.1490000E+02,-0.2257416E+04,0.2739410E+00
0.1500000E+02,-0.2254510E+04,0.2739410E+00
0.1510000E+02,-0.2253351E+04,0.2739410E+00
0.1520000E+02,-0.2250015E+04,0.2795230E+00
0.1530000E+02,-0.2251668E+04,0.2856770E+00
0.1540000E+02,-0.2254102E+04,0.2874430E+00
0.1550000E+02,-0.2252360E+04,0.2876000E+00
0.1560000E+02,-0.2249226E+04,0.2905110E+00
0.1570000E+02,-0.2245763E+04,0.2936990E+00
0.1580000E+02,-0.2244616E+04,0.2990190E+00
0.1590000E+02,-0.2240466E+04,0.3010840E+00
0.1600000E+02,-0.2236566E+04,0.3028690E+00
0.1610000E+02,-0.2236295E+04,0.3049490E+00
0.1620000E+02,-0.2235814E+04,0.3067180E+00
0.1630000E+02,-0.2237743E+04,0.3107520E+00
0.1640000E+02,-0.2237598E+04,0.3125210E+00
0.1650000E+02,-0.2234997E+04,0.3128520E+00
0.1660000E+02,-0.2231863E+04,0.3185860E+00
0.1670000E+02,-0.2227061E+04,0.3223280E+00
0.1680000E+02,-0.2226276E+04,0.3240970E+00
0.1690000E+02,-0.2230487E+04,0.3240970E+00
0.1700000E+02,-0.2235181E+04,0.3274810E+00
0.1710000E+02,-0.2236961E+04,0.3377540E+00
0.1720000E+02,-0.2237363E+04,0.3395190E+00
0.1730000E+02,-0.2237200E+04,0.3398650E+00
0.1740000E+02,-0.2235576E+04,0.3433950E+00
0.1750000E+02,-0.2233512E+04,0.3433950E+00
0.1760000E+02,-0.2231130E+04,0.3456370E+00
0.1770000E+02,-0.2231042E+04,0.3494680E+00
0.1780000E+02,-0.2233007E+04,0.3519210E+00
0.1790000E+02,-0.2230592E+04,0.3570550E+00
0.1800000E+02,-0.2225624E+04,0.3610250E+00
0.1810000E+02,-0.2221721E+04,0.3626700E+00
0.1820000E+02,-0.2220921E+04,0.3649130E+00
0.1830000E+02,-0.2218415E+04,0.3665240E+00
0.1840000E+02,-0.2221693E+04,0.3676660E+00
0.1850000E+02,-0.2224811E+04,0.3704000E+00
0.1860000E+02,-0.2224095E+04,0.3715000E+00
0.1870000E+02,-0.2220119E+04,0.3744190E+00
0.1880000E+02,-0.2222963E+04,0.3784270E+00
0.1890000E+02,-0.2227338E+04,0.3824310E+00
0.1900000E+02,-0.2227894E+04,0.3877280E+00
0.1910000E+02,-0.2230769E+04,0.3877480E+00
0.1920000E+02,-0.2230927E+04,0.3888700E+00
0.1930000E+02,-0.2232843E+04,0.3916130E+00
0.1940000E+02,-0.2234800E+04,0.3960590E+00
0.1950000E+02,-0.2233245E+04,0.4012510E+00
0.1960000E+02,-0.2233889E+04,0.4012510E+00
0.1970000E+02,-0.2235601E+04,0.4031890E+00
0.1980000E+02,-0.2238392E+04,0.4031890E+00
0.1990000E+02,-0.2239432E+04,0.4089730E+00
0.2000000E+02,-0.2238879E+04,0.4112170E+00
0.2010000E+02,-0.2237751E+04,0.4149230E+00
0.2020000E+02,-0.2238338E+04,0.4178130E+00
0.2030000E+02,-0.2240558E+04,0.4173030E+00
0.2040000E+02,-0.2242760E+04,0.4255240E+00
0.2050000E+02,-0.2245774E+04,0.4247350E+00
0.2060000E+02,-0.2245789E+04,0.4282670E+00
0.2070000E+02,-0.2243424E+04,0.4286000E+00
0.2080000E+02,-0.2240723E+04,0.4354360E+00
0.2090000E+02,-0.2236742E+04,0.4398280E+00
0.2100000E+02,-0.2237159E+04,0.4409710E+00
0.2110000E+02,-0.2240658E+04,0.4436920E+00
0.2120000E+02,-0.2240969E+04,0.4459580E+00
0.2130000E+02,-0.2243606E+04,0.4494800E+00
0.2140000E+02,-0.2243809E+04,0.4494800E+00
0.2150000E+02,-0.2245274E+04,0.4533450E+00
0.2160000E+02,-0.2243426E+04,0.4533450E+00
0.2170000E+02,-0.2245302E+04,0.4574900E+00
0.2180000E+02,-0.2251033E+04,0.4610560E+00
0.2190000E+02,-0.2255175E+04,0.4632930E+00
0.2200000E+02,-0.2254168E+04,0.4679660E+00
0.2210000E+02,-0.2251398E+04,0.4726320E+00
0.2220000E+02,-0.2251446E+04,0.4748560E+00
0.2230000E+02,-0.2249621E+04,0.4801870E+00
0.2240000E+02,-0.2251374E+04,0.4795420E+00
0.2250000E+02,-0.2255146E+04,0.4805210E+00
0.2260000E+02,-0.2260755E+04,0.4834070E+00
0.2270000E+02,-0.2264774E+04,0.4883720E+00
0.2280000E+02,-0.2267444E+04,0.4919220E+00
0.2290000E+02,-0.2267471E+04,0.4940040E+00
0.2300000E+02,-0.2268419E+04,0.4969060E+00
0.2310000E+02,-0.2271526E+04,0.5020110E+00
0.2320000E+02,-0.2275715E+04,0.5073440E+00
0.2330000E+02,-0.2277983E+04,0.5076780E+00
0.2340000E+02,-0.2277773E+04,0.5123320E+00
0.2350000E+02,-0.2276932E+04,0.5152330E+00
0.2360000E+02,-0.2277582E+04,0.5192460E+00
0.2370000E+02,-0.2276967E+04,0.5209940E+00
0.2380000E+02,-0.2278332E+04,0.5239210E+00
0.2390000E+02,-0.2282796E+04,0.5250300E+00
0.2400000E+02,-0.2286400E+04,0.5285760E+00
0.2410000E+02,-0.2290038E+04,0.5324220E+00
0.2420000E+02,-0.2290122E+04,0.5335660E+00
0.2430000E+02,-0.2286368E+04,0.5366220E+00
0.2440000E+02,-0.2284168E+04,0.5401510E+00
0.2450000E+02,-0.2283327E+04,0.5405930E+00
0.2460000E+02,-0.2284694E+04,0.5481920E+00
0.2470000E+02,-0.2287427E+04,0.5499640E+00
0.2480000E+02,-0.2288518E+04,0.5539740E+00
0.2490000E+02,-0.2291558E+04,0.5555810E+00
0.2500000E+02,-0.2293657E+04,0.5566830E+00
0.2510000E+02,-0.2293705E+04,0.5595830E+00
0.2520000E+02,-0.2296073E+04,0.5625090E+00
0.2530000E+02,-0.2301098E+04,0.5634440E+00
0.2540000E+02,-0.2304412E+04,0.5708230E+00
0.2550000E+02,-0.2309738E+04,0.5767940E+00
0.2560000E+02,-0.2310188E+04,0.5779380E+00
0.2570000E+02,-0.2311640E+04,0.5787320E+00
0.2580000E+02,-0.2310200E+04,0.5787320E+00
0.2590000E+02,-0.2311329E+04,0.5828910E+00
0.2600000E+02,-0.2312349E+04,0.5864540E+00
0.2610000E+02,-0.2316487E+04,0.5886830E+00
0.2620000E+02,-0.2321320E+04,0.5922310E+00
0.2630000E+02,-0.2326675E+04,0.5923720E+00
0.2640000E+02,-0.2325186E+04,0.5975670E+00
0.2650000E+02,-0.2325039E+04,0.6002590E+00
0.2660000E+02,-0.2325016E+04,0.6038070E+00
0.2670000E+02,-0.2328477E+04,0.6058900E+00
0.2680000E+02,-0.2334895E+04,0.6087800E+00
0.2690000E+02,-0.2336792E+04,0.6141320E+00
0.2700000E+02,-0.2338328E+04,0.6211810E+00
0.2710000E+02,-0.2336830E+04,0.6231080E+00
0.2720000E+02,-0.2338984E+04,0.6231080E+00
0.2730000E+02,-0.2340698E+04,0.6235520E+00
0.2740000E+02,-0.2343336E+04,0.6288810E+00
0.2750000E+02,-0.2347835E+04,0.6346840E+00
0.2760000E+02,-0.2353810E+04,0.6346840E+00
0.2770000E+02,-0.2353294E+04,0.6366100E+00
0.2780000E+02,-0.2354452E+04,0.6388170E+00
0.2790000E+02,-0.2355038E+04,0.6425440E+00
0.2800000E+02,-0.2355788E+04,0.6466000E+00
0.2810000E+02,-0.2359640E+04,0.6483470E+00
0.2820000E+02,-0.2364529E+04,0.6501130E+00
0.2830000E+02,-0.2369334E+04,0.6557250E+00
0.2840000E+02,-0.2369629E+04,0.6539590E+00
0.2850000E+02,-0.2370720E+04,0.6567520E+00
0.2860000E+02,-0.2366978E+04,0.6655650E+00
0.2870000E+02,-0.2367777E+04,0.6661330E+00
0.2880000E+02,-0.2369984E+04,0.6743820E+00
0.2890000E+02,-0.2373769E+04,0.6753450E+00
