time,axial_force,transversal_displacement
0.9900000E+03,-0.2199685E+04,0.1477050E+00
0.1000000E+04,-0.2208389E+04,0.1498670E+00
0.1010000E+04,-0.2202570E+04,0.1534600E+00
0.1020000E+04,-0.2203209E+04,0.1553720E+00
0.1030000E+04,-0.2197986E+04,0.1553720E+00
0.1040000E+04,-0.2200663E+04,0.1553720E+00
0.1050000E+04,-0.2197520E+04,0.1611340E+00
0.1060000E+04,-0.2200544E+04,0.1668810E+00
0.1070000E+04,-0.2203363E+04,0.1668810E+00
0.1080000E+04,-0.2199280E+04,0.1688000E+00
0.1090000E+04,-0.2196094E+04,0.1688000E+00
0.1100000E+04,-0.2195905E+04,0.1688000E+00
0.1110000E+04,-0.2199514E+04,0.1745660E+00
0.1120000E+04,-0.2197741E+04,0.1745660E+00
0.1130000E+04,-0.2199496E+04,0.1783900E+00
0.1140000E+04,-0.2197517E+04,0.1783900E+00
0.1150000E+04,-0.2198848E+04,0.1795910E+00
0.1160000E+04,-0.2205898E+04,0.1807820E+00
0.1170000E+04,-0.2201278E+04,0.1855690E+00
0.1180000E+04,-0.2198752E+04,0.1898990E+00
0.1190000E+04,-0.2201175E+04,0.1898990E+00
0.1200000E+04,-0.2204717E+04,0.1898990E+00
0.1210000E+04,-0.2197776E+04,0.1975840E+00
0.1220000E+04,-0.2199662E+04,0.1975840E+00
0.1230000E+04,-0.2201552E+04,0.2014080E+00
0.1240000E+04,-0.2204492E+04,0.2014080E+00
0.1250000E+04,-0.2206365E+04,0.2014080E+00
0.1260000E+04,-0.2204707E+04,0.2014080E+00
0.1270000E+04,-0.2204760E+04,0.2033200E+00
0.1280000E+04,-0.2202475E+04,0.2129170E+00
0.1290000E+04,-0.2203896E+04,0.2129170E+00
0.1300000E+04,-0.2208629E+04,0.2129170E+00
0.1310000E+04,-0.2204164E+04,0.2129170E+00
0.1320000E+04,-0.2196579E+04,0.2186620E+00
0.1330000E+04,-0.2196993E+04,0.2225030E+00
0.1340000E+04,-0.2204630E+04,0.2244260E+00
0.1350000E+04,-0.2211035E+04,0.2244260E+00
0.1360000E+04,-0.2214743E+04,0.2263380E+00
0.1370000E+04,-0.2210147E+04,0.2263380E+00
0.1380000E+04,-0.2203400E+04,0.2340230E+00
0.1390000E+04,-0.2209004E+04,0.2359350E+00
0.1400000E+04,-0.2219123E+04,0.2359350E+00
0.1410000E+04,-0.2213018E+04,0.2359350E+00
0.1420000E+04,-0.2220423E+04,0.2397920E+00
0.1430000E+04,-0.2217307E+04,0.2436090E+00
0.1440000E+04,-0.2211948E+04,0.2455320E+00
0.1450000E+04,-0.2212846E+04,0.2455320E+00
0.1460000E+04,-0.2213344E+04,0.2493560E+00
0.1470000E+04,-0.2214949E+04,0.2493560E+00
0.1480000E+04,-0.2215109E+04,0.2570410E+00
0.1490000E+04,-0.2215165E+04,0.2570410E+00
0.1500000E+04,-0.2216022E+04,0.2603980E+00
0.1510000E+04,-0.2215447E+04,0.2589530E+00
0.1520000E+04,-0.2215964E+04,0.2647040E+00
0.1530000E+04,-0.2217580E+04,0.2647040E+00
0.1540000E+04,-0.2217336E+04,0.2647040E+00
0.1550000E+04,-0.2218049E+04,0.2685500E+00
0.1560000E+04,-0.2219013E+04,0.2723740E+00
0.1570000E+04,-0.2226028E+04,0.2723740E+00
0.1580000E+04,-0.2226306E+04,0.2800590E+00
0.1590000E+04,-0.2225789E+04,0.2800590E+00
0.1600000E+04,-0.2222191E+04,0.2800590E+00
0.1610000E+04,-0.2225870E+04,0.2824620E+00
0.1620000E+04,-0.2235690E+04,0.2858020E+00
