deslocamento,JFC1,JFC2,JHC1,JHC2,JM1C1,JM1C2,JM2C1,JM2C2,PFC1,PFC2,PHC1,PHC2,PM1C1,PM1C2,PM2C1,PM2C2,expC1,expC2
-0.05666666666666666,-664.772326680824,-664.772446774761,-710.404409033226,-710.40453617005,-685.596550488895,-685.5966730097119,-685.839444097567,-685.839566792202,-677.918748558483,-677.9187485585541,-686.709832395706,-686.709959166997,-638.2891435702089,-638.289143570285,-697.4622956898911,-697.462295689962,,
-0.06233333333333333,-732.2956923529581,-732.2958278738839,-782.560208275525,-782.560351770763,-755.232163855057,-755.232302155829,-755.500041799215,-755.5001802847031,-746.777750823958,-746.777750824052,-756.4623747676221,-756.462517559225,-703.130886348804,-703.130886348885,-768.3116402941181,-768.311640294225,,
-0.06799999999999999,-800.011816401679,-800.011964276004,-854.9215312928051,-854.9216879931649,-825.0660355996409,-825.06618661596,-825.359025690618,-825.3591769194679,-815.833471559162,-815.833471559287,-826.414229607414,-826.41438736659,-768.1591002574719,-768.1591002575869,-839.3641335378489,-839.364133537977,,
-0.07366666666666666,-867.921343130052,-867.921501128084,-927.489067816651,-927.489235299118,-895.0988297065961,-895.098991108851,-895.417060151089,-895.417221785023,-885.086593910547,-885.086593910691,-896.5660744903349,-896.566243119571,-833.374371227149,-833.374371227285,-910.6204280291299,-910.620428029286,,
-0.07933333333333334,-936.024917576189,-936.025086047189,-1000.2635082920801,-1000.26368680741,-965.3312108532739,-965.331382907153,-965.6748102192439,-965.674982524564,-954.53780393271,-954.53780393289,-966.9185826119009,-966.918762021586,-898.777286979888,-898.7772869800591,-982.081178555772,-982.081178555967,,
-0.08499999999999999,-1004.3231897502699,-1004.32336914307,-1073.24554827119,-1073.24573831662,-1035.76384869942,-1035.7640318596302,-1036.13294592566,-1036.13312935796,-1024.1877906030302,-1024.1877906032598,-1037.4724333640402,-1037.4726239730498,-964.3684370306489,-964.3684370308509,-1053.7470420899601,-1053.74704209019,,
-0.09066666666666666,-1072.8168122064,-1072.81700301035,-1146.43588621095,-1146.43608830248,-1106.39741562501,-1106.39761037147,-1106.7921400219197,-1106.7923350791,-1094.03724583636,-1094.03724583663,-1108.22830929498,-1108.22851156232,-1030.14841268886,-1030.14841268911,-1125.6186777928801,-1125.6186777931698,,
-0.09633333333333333,-1141.50644000029,-1141.50664274667,-1219.83522324287,-1219.8354379309599,-1177.23258660487,-1177.2327935015899,-1177.65306785527,-1177.6532750684598,-1164.0868644998,-1164.0868645001199,-1179.1868956969502,-1179.1871101044999,-1096.1178070601,-1096.11780706039,-1197.6967470193,-1197.69674701966,,
-0.10199999999999998,-1210.3927307096,-1210.39294608712,-1293.44426319526,-1293.4444911930198,-1248.27003920593,-1248.2702589205498,-1248.71640736562,-1248.71662742304,-1234.3373444275599,-1234.33734442795,-1250.34888050676,-1250.3491076293499,-1162.27721504745,-1162.27721504781,-1269.9819133189,-1269.9819133221401,,
-0.10766666666666666,-1279.4763444313,-1279.4765733753,-1367.26371260327,-1367.26395490138,-1319.5104535288,-1319.51068707508,-1319.98283909547,-1319.9830729519301,-1304.78938643592,-1304.78938643638,-1321.7149544527801,-1321.71519512492,-1228.627233345,-1228.6272333526802,-1342.4748359835698,-1342.47484180959,,
-0.11333333333333331,-1348.75794383487,-1348.75818729541,-1441.29428079294,-1441.29453840743,-1390.95451200791,-1390.9547608009,-1391.4530462722598,-1391.45329490893,-1375.4436943382598,-1375.4436943388098,-1393.2858109393899,-1393.28606630647,-1295.16833043702,-1295.1684474305198,-1415.17594289064,-1415.1761763827099,,
-0.119,-1418.23819404284,-1418.23845284509,-1515.53667971555,-1515.53695352017,-1462.6028978847303,-1462.603165131,-1463.12771464203,-1463.1279789025598,-1446.3009749602,-1446.3009749608402,-1465.0621462774302,-1465.0624172379198,-1361.89333111452,-1361.90052418021,-1488.08356512758,-1488.0863478057502,,
-0.12466666666666666,-1487.91776329901,-1487.91803774776,-1589.99162431392,-1589.9919149573498,-1534.45628986998,-1534.45658714767,-1535.0075331009302,-1535.00781337644,-1517.36193815414,-1517.36193815543,-1537.04465936539,-1537.04494681928,-1428.7689617472302,-1428.81369508667,-1561.1876998727403,-1561.2048002670401,,
-0.1303333333333333,-1557.79732322366,-1557.7976123169299,-1664.65983089155,-1664.6601400040302,-1606.51533809968,-1606.51571337438,-1607.09319402905,-1607.0934894427699,-1588.6272901501902,-1588.62729615163,-1609.2340517570199,-1609.23435674986,-1495.7881307071698,-1495.88754801015,-1634.4645276372598,-1634.52805925229,,
-0.13599999999999998,-1627.87754819406,-1627.87784945055,-1739.54199799112,-1739.5423466606399,-1678.78056347784,-1678.78121992832,-1679.38539107523,-1679.38570073751,-1660.0974683959198,-1660.0977369096302,-1681.63102238986,-1681.63135088234,-1562.96210318362,-1563.11929284594,-1707.88888989918,-1708.0470339870199,,
-0.14166666666666666,-1698.15911257018,-1698.15942460344,-1814.63866801064,-1814.6392399801,-1751.2519903505301,-1751.25373599471,-1751.88480886556,-1751.88514261617,-1731.77054006053,-1731.77370031043,-1754.23622215533,-1754.2366308707901,-1630.28810710991,-1630.5148880629001,-1781.44585058797,-1781.74702144781,,
