deslocamento,JFC1,JFC2,JHC1,JHC2,JM1C1,JM1C2,JM2C1,JM2C2,PFC1,PFC2,PHC1,PHC2,PM1C1,PM1C2,PM2C1,PM2C2,expC1,expC2
-0.005666666666666666,0.000801291956414153,0.000801291989112624,0.000794091205409845,0.000794091236739211,0.0007929612262532781,0.000792961257412163,0.000793852465607463,0.000793852496923258,0.000368774375565532,0.000368774375565534,0.000703569101985991,0.000703569145922361,0.00119379166043818,0.00119379166043818,0.00107279465926711,0.00107279465926711,,
-0.011333333333333332,0.0016036561637919901,0.0016036559128541198,0.00158925073706977,0.0015892504875715699,0.00158699018041522,0.00158698993114534,0.00158877314691442,0.0015887728974617302,0.0007380192987894709,0.00073801929878943,0.00140806894764012,0.00140806867582713,0.0023892184991633697,0.0023892184991633,0.00214704695155316,0.0021470469515532,,
-0.016999999999999998,0.00240709556066588,0.00240709521360224,0.0023854815013993396,0.00238548114942296,0.00238208978710376,0.00238208943539805,0.0023847649698509198,0.00238476461793017,0.00110773644130911,0.00110773644130907,0.00211350207820229,0.00211350166362366,0.0035862850759933703,0.00358628507599355,0.00322276116421378,0.0032227611642138398,,
-0.022666666666666665,0.00321161385111516,0.0032116133780508396,0.00318278714044325,0.0031827866631849,0.00317826370526045,0.00317826322838337,0.00318183159584571,0.00318183111866531,0.00147792748518135,0.00147792748518138,0.0028198717794648397,0.00281987122870002,0.0047849959713922,0.00478499597139233,0.0042999416058421705,0.00429994160584196,,
-0.02833333333333333,0.00401721453866974,0.00401721388372257,0.003981171118618921,0.003981170460598571,0.003975515416728421,0.00397551475931916,0.0039799765088465704,0.0039799758509422205,0.0018485941229569,0.00184859412295685,0.00352718122394629,0.0035271804790551102,0.00598535578648608,0.00598535578648635,0.0053785926063121105,0.0053785926063121105,,
-0.033999999999999996,0.00482390100640993,0.00482390025542591,0.0047806367815825795,0.00478063602030029,0.004773848284462871,0.004773847524186079,0.0047792030741878,0.00477920231300036,0.0022197380577664303,0.0022197380577664303,0.0042354334540396395,0.004235432566067,0.00718736914319205,0.0071873691431918905,0.00645871851692371,0.00645871851692381,,
-0.03966666666666667,0.00563167687922271,0.00563167602540519,0.0055811876916188104,0.00558118682829448,0.00557326588883056,0.00557326502658878,0.00557951487374468,0.00557951401053215,0.00259136100340926,0.0025913610034093,0.00494463164948574,0.00494463065041066,0.00839104068434382,0.00839104068434372,0.007540323710547859,0.007540323710547909,,
-0.04533333333333333,0.00644054572616179,0.00644054474568455,0.00638282737947531,0.00638282639020077,0.0063737717778455895,0.00637377078976411,0.00638091545806256,0.00638091446892375,0.0029634646844420697,0.00296346468444208,0.00565477904514566,0.005654777909427621,0.00959637507382293,0.00959637507382254,0.008623412581773909,0.0086234125817739,,
-0.05099999999999999,0.00725051111748137,0.00725050998400588,0.0071855593685624,0.0071855582278434,0.00717536949261532,0.0071753683532873,0.007183408370401741,0.00718340722984768,0.00333605083626858,0.00333605083626862,0.0063658788363158,0.00636587753928888,0.0108033769966863,0.0108033769966861,0.0097079895470568,0.00970798954705663,,
-0.05666666666666666,0.00806157664416588,0.00806157532810872,0.007989387203212309,0.00798938588087943,0.00797806259535244,0.007978061274519459,0.00798699717502405,0.0079869958529359,0.00370912120523048,0.00370912120523048,0.00707793423366665,0.007077932741848641,0.0120120511592973,0.0120120511592973,0.0107940590448664,0.0107940590448664,,
-0.06233333333333333,0.00887374590308842,0.00887374440021825,0.00879431443685437,0.00879431292525457,0.00878185465822248,0.008781853147199791,0.00879168544554619,0.00879168393405548,0.004082677548698939,0.00408267754869891,0.00779094846975388,0.0077909467623811296,0.0132224022894575,0.0132224022894576,0.0118816255358377,0.0118816255358376,,
-0.06799999999999999,0.00968702243470905,0.009687020834528041,0.00960034455655615,0.00960034294798294,0.0095867491841098,0.009586747576302459,0.00959747668881662,0.009597475080361541,0.00445672163516715,0.004456721635167121,0.00850492470014475,0.00850492285602056,0.014434435136538,0.014434435136538,0.0129706935029221,0.0129706935029222,,
-0.07366666666666666,0.0105014099772255,0.0105014082860213,0.0104074812553318,0.0104074795567309,0.0103927498852629,0.0103927481874818,0.0104043746181713,0.0104043729196984,0.00483125524434397,0.00483125524434397,0.0092198662390838,0.009219864295395409,0.0156481544716127,0.0156481544716125,0.01406126745154,0.01406126745154,,
-0.07933333333333334,0.0113169122253845,0.0113169104305706,0.0112157281818406,0.0112157263798543,0.0111998604279533,0.0111998586271635,0.0112123829022309,0.0112123811006872,0.00520628016724838,0.00520628016724835,0.0099357764284013,0.009935774372469359,0.0168635650875915,0.0168635650875915,0.0151533519097339,0.015153351909734,,
-0.08499999999999999,0.0121335328756349,0.0121335309653191,0.0120250889836413,0.0120250870667605,0.0120080844784915,0.0120080825629048,0.012021505209507,0.0120215032930898,0.00558179820630467,0.00558179820630462,0.0106526585796517,0.0106526563988527,0.0180806717993564,0.0180806717993564,0.0162469514283246,0.0162469514283244,,
-0.09066666666666666,0.0129512756463937,0.0129512736085603,0.0128355673315741,0.0128355652878972,0.0128174257256479,0.0128174236833985,0.0128317452309804,0.0128317431877898,0.0059578111754392,0.00595781117543918,0.0113705160242643,0.0113705137057521,0.0192994794438955,0.0192994794438954,0.0173420705810653,0.017342070581065,,
-0.09633333333333333,0.0137701442769655,0.0137701421001892,0.0136471669170611,0.013647164735059,0.0136278878791532,0.0136278856986865,0.013643106678601,0.0136431044971111,0.00633432090017758,0.0063343209001775706,0.0120893521135561,0.0120893496444205,0.02051999288044,0.02051999288044,0.0184387139648001,0.0184387139648,,
-0.10199999999999998,0.0145901425282775,0.0145901401967016,0.0144598914526229,0.0144598891168689,0.0144394746699182,0.0144394723358958,0.0144555932855064,0.0144555909502953,0.00671132921774305,0.00671132921774302,0.012809170217963,0.0128091675862068,0.0217422169906024,0.0217422169906021,0.0195368861995955,0.0195368861996196,,
-0.10766666666666666,0.0154112741837632,0.0154112716803867,0.0152737446729927,0.015273742166403,0.0152521898510319,0.0152521873464166,0.0152692088071347,0.0152692063011193,0.0070888379771561205,0.007088837977156,0.0135299737279132,0.0135299709138172,0.0229661566784189,0.0229661566785032,0.0206365918732271,0.0206365919234539,,
